msg,true_intent,true_escalate,trivial_intent_pred,trivial_escalate_pred,simple_intent_pred,simple_escalate_pred,simple_reply_eval,agent_intent_pred,agent_escalate_pred,agent_reply_eval,agent_reply_text
@sprintcare Yes.  It has been lost for years,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 4, 'actionability': 2, 'safety': 5, 'overall': 2.2, 'rationale': ""The agent's reply is generic and does not address the customer's specific statement that something has been lost for years. It lacks grounding in the conversation context and offers only a generic FAQ link, which is minimally helpful and not actionable for the customer's likely need (e.g., lost device, account, or service). Tone is polite and professional, and the response is safe with no inappropriate promises or PII leakage.""}",order_status,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': 'The agent correctly moves the conversation to a private channel (DM) to handle account-specific details securely, which aligns with standard support practices. The reply is polite, professional, and provides a clear next step. However, the agent could have asked for a bit more context (e.g., what was lost) to better prepare for the DM interaction, slightly reducing helpfulness. No safety concerns or invented facts are present.'}",Please send us a DM so we can look into this. The secure link won't send over a public site.
"@sprintcare No,  I have contacted Sprint countless times about said issue and it's yet to be resolved. It's like beating a dead horse with a stick.",general_inquiry,True,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 2, 'actionability': 2, 'safety': 5, 'overall': 1.5, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to acknowledge the customer's frustration or the history of repeated contacts. It shows no grounding in the specific issue, offers minimal helpfulness, and uses a polite but tone-deaf opening. While the action (visit FAQ) is clear, it is inappropriate for an escalated, unresolved complaint. Safety is not compromised.""}",general_inquiry,True,"{'groundedness': 4, 'helpfulness': 3, 'tone': 5, 'actionability': 4, 'safety': 5, 'overall': 4.2, 'rationale': ""The agent acknowledges the customer's frustration empathetically and maintains a professional tone. The reply is grounded in the general context of repeated unresolved contacts but lacks specificity about the issue. Helpfulness is moderate because the agent only offers to continue the conversation via DM without gathering details or providing immediate guidance. Actionability is clear (send a DM) but could be more directive. Safety is strong with no inappropriate promises or PII exposure.""}","We know this must be a very exhausting experience for you and we'd like to help you out. We can discuss this issue further privately, just send us a DM and we can give you some feedback. -HM"
@115714 Is there anyone else that can help me???,general_inquiry,True,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 1.8, 'rationale': 'The customer explicitly asks for another agent/human assistance, indicating frustration. The agent responds with a generic FAQ link, which does not address the request for human help, offers no clear next step for escalation, and feels dismissive. While safe and polite in a minimal sense, the reply fails on helpfulness, actionability, and appropriate tone for the situation.'}",general_inquiry,True,"{'groundedness': 4, 'helpfulness': 2, 'tone': 4, 'actionability': 4, 'safety': 5, 'overall': 3.5, 'rationale': ""The agent's reply is polite and provides a clear next step (send a DM), which aligns with standard support protocols and avoids any safety issues. However, it does not acknowledge the customer's expressed frustration or their specific request for another agent, reducing its helpfulness. The response is grounded in typical support practices but lacks personalization to the customer's immediate concern.""}",We'd be happy to help! Please send us a DM so we can assist you further. -Support
@115714 I'm moving to Canada... What can I do in regards to my contract?,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 2, 'tone': 5, 'actionability': 3, 'safety': 5, 'overall': 2.8, 'rationale': ""The agent's reply is polite and safe but provides only a generic FAQ link without addressing the customer's specific situation (moving to Canada and contract options). No precedent or policy information is referenced, and the customer must self-serve to find relevant details. While the tone is professional and the link offers a next step, the response lacks groundedness and tailored helpfulness.""}",general_inquiry,False,"{'groundedness': 3, 'helpfulness': 2, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 3.5, 'rationale': ""The reply is polite and provides a clear next step (DM phone number), but it does not address the customer's specific question about contract options when moving to Canada. It lacks grounding in any specific policy or precedent and simply defers the issue to a later interaction, which limits its helpfulness.""}",We regret to hear that you are moving. DM your phone number so that we may research your concerns and reach out.
"@sprintcare Okay that is great, so there is no extra cost, as it is included with my current plan...that is what I read....right?",billing_issue,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 3, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply does not confirm whether the feature is included in the customer's plan, instead deflecting to a generic FAQ link. This fails to address the specific question, lacks grounding in the customer's context, and provides minimal actionable guidance. The tone is polite but dismissive. No safety concerns.""}",general_inquiry,False,"{'groundedness': 4, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.0, 'rationale': ""The agent appropriately avoids stating plan details without verification, maintaining groundedness. However, the reply does not directly answer the customer's confirmation request, reducing helpfulness. Tone is polite and professional. Actionability is clear with a DM request. Safety is strong as no promises are made and PII is protected by moving to DM.""}",We'd be happy to verify the details of your current plan and confirm what's included! Please send us a DM so we can take a closer look at your account and provide you with accurate information. -NS
@sprintcare I’ve noticed it most lately in the the downtown Atlanta area,service_outage,False,general_inquiry,False,service_outage,False,"{'groundedness': 4, 'helpfulness': 3, 'tone': 5, 'actionability': 2, 'safety': 5, 'overall': 3.5, 'rationale': ""The agent acknowledges an outage, which aligns with the customer's report of service issues in downtown Atlanta, but does not specifically reference the location or provide details. The reply is polite and professional, but lacks actionable guidance (e.g., estimated restoration time, outage map link, or troubleshooting steps). No safety concerns or PII leakage.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent's reply is grounded in standard support protocol (requesting a DM to securely gather account details), maintains a polite and professional tone, provides a clear actionable next step, and avoids any safety concerns. Helpfulness is slightly reduced because the response does not acknowledge the specific location (downtown Atlanta) or offer any immediate troubleshooting, but it appropriately escalates to a private channel for personalized assistance.""}","Thanks for the notice. Please send us a DM, so that we can further assist you. Thank you! - WR"
"@sprintcare Can’t make incoming or outgoing calls yet I can do a Facebook live, text, and Messenger. I have a business to run and you are costing me $$.",service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is a generic FAQ redirect that fails to address the customer's specific, urgent issue (voice service outage while data works) and its business impact. It shows no grounding in the technical details, offers no troubleshooting or escalation path, and the polite but dismissive tone is inappropriate for a revenue-impacting outage. Safety is fine (no promises or PII), but the response is essentially unhelpful and non-actionable.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent's reply is empathetic, professional, and provides a clear next step (DM for investigation). It acknowledges the business impact and avoids making promises or sharing technical speculation. Groundedness is high as it follows standard support protocol without inventing facts. Helpfulness is slightly reduced because no immediate troubleshooting suggestions are offered, but requesting a DM to investigate is appropriate for a public channel.""}","We understand how frustrating this must be, especially when it's impacting your business. We'd like to look into this for you right away. Please send us a DM so we can investigate further and help resolve the issue. -SA"
@sprintcare Thank you!,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 2.0, 'rationale': 'The customer simply thanked the support team, but the agent incorrectly treated it as a question and directed them to an FAQ link. This response is not grounded in the actual interaction, unhelpful for a thank-you, and provides an unnecessary action. Tone remains polite but contextually inappropriate. No safety concerns.'}",general_inquiry,True,"{'groundedness': 5, 'helpfulness': 5, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 5, 'rationale': ""The agent's reply is a standard, polite acknowledgment of the customer's thanks, consistent with customer service best practices. It offers a clear next step (DM for further help) without making promises or leaking PII. The tone is professional and friendly, and the response appropriately closes the interaction while leaving the door open for future assistance.""}","You're welcome! If there's anything else we can help with, just send us a DM. -JD"
@115714 and @Sprintcare ... What can be done about your lazy attempts to correct the charges on a S7 was sent back ... Asking for a friend,billing_issue,False,general_inquiry,False,billing_issue,False,"{'groundedness': 3, 'helpfulness': 3, 'tone': 4, 'actionability': 5, 'safety': 5, 'overall': 4.0, 'rationale': ""The agent's reply is a standard, professional response that offers assistance and requests the account number via DM to proceed. It does not invent facts but lacks specificity to the customer's mention of a returned Samsung S7 and prior 'lazy attempts.' The tone is polite, the next step is clear, and there are no safety concerns. However, the response could be more helpful by acknowledging the specific issue (returned device charges) and expressing empathy.""}",billing_issue,False,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4, 'rationale': 'The agent responds politely and professionally, offering a clear next step (DM with details) without making promises or leaking PII. However, the reply is generic and does not acknowledge the specific issue (returned S7 charges), which limits helpfulness. Overall, a solid but minimal first response.'}",Hello! We'd be more than happy to assist you. Could you please send us a DM with some more details so we can look into this? -Agent
@115714 @sprintcare You guys wasted my time I'm canceling tm,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 1.8, 'rationale': ""The agent's reply is a generic FAQ referral that does not address the customer's explicit statement of intent to cancel service. It fails to acknowledge the frustration, offer retention options, or provide a direct path to cancellation. While the tone is superficially polite, it is tone-deaf to the context. The response is safe (no PII or false promises) but lacks groundedness, helpfulness, and actionable guidance for the customer's actual need.""}",general_inquiry,True,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.6, 'rationale': ""The reply is grounded in standard retention practices, acknowledges the customer's frustration and cancellation intent, and maintains a polite, professional tone. It provides a clear next step (DM with contact info) and avoids safety issues. However, helpfulness is limited because the agent does not probe the specific 'wasted time' complaint or offer immediate resolution, instead deferring to a private conversation.""}",We're sorry to hear about your experience and that you're considering canceling. We'd hate to see you go and would love the chance to help resolve this. Please send us a DM with your contact info so we can look into this for you.
@115714 last chance .... https://t.co/IKBo6wk5kX,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 4, 'actionability': 2, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply is generic and fails to address the customer's specific reference to ticket 115714 and the provided link, which suggests a final attempt to resolve an ongoing issue. The response should have acknowledged the ticket and provided a more targeted resolution or escalation.""}",general_inquiry,True,"{'groundedness': 2, 'helpfulness': 1, 'tone': 3, 'actionability': 1, 'safety': 5, 'overall': 2.0, 'rationale': ""The agent's reply cites a 'system error' without evidence from the conversation or reference notes, so groundedness is low. The response does not address the customer's specific ticket or link, offering no resolution path, making it unhelpful and lacking actionability. Tone is polite but generic. Safety is fine as no promises or PII are leaked. Overall score reflects the poor alignment with customer needs.""}","I am sorry, but I am unable to assist with this request at the moment due to a system error."
So sick of @sprintcare I am tired of getting my text messages two days later. Crappy service for my bill to be high.After 13 yrs I’m done!,service_outage,False,general_inquiry,False,billing_issue,False,"{'groundedness': 3, 'helpfulness': 2, 'tone': 3, 'actionability': 4, 'safety': 5, 'overall': 3, 'rationale': ""The agent's reply addresses only the billing aspect of the customer's complaint, ignoring the primary issue of delayed text messages and the customer's expressed frustration after 13 years. While the request for an account number via DM is a standard, safe, and actionable next step, the response lacks empathy and fails to acknowledge the full scope of the problem, making it only partially helpful and grounded. The tone is professional but could be more compassionate given the customer's clear intent to leave.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': 'The agent acknowledges the specific complaints (delayed texts, 13-year tenure, frustration) without inventing facts, demonstrating strong groundedness. The reply is polite, empathetic, and professional, earning high marks for tone. It provides a clear, safe next step (direct message) for account-specific troubleshooting, scoring well on actionability and safety. Helpfulness is slightly reduced because the response is a standard first-contact template that does not yet address the billing concern or offer immediate remediation, but it appropriately initiates the resolution process.'}",We're sorry to hear about the delayed text messages and your frustration after 13 years with us. We'd like to help resolve this for you. Please send us a Direct Message so we can look into your account and service issues directly. Thank you.
"Honestly, @115714 is trash if you don't have wifi 70+ percent of the time you're using your phone",service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 3, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 1.5, 'rationale': ""The agent's reply is a generic canned response that does not acknowledge the customer's specific complaint about poor WiFi connectivity. It fails to address the real issue, offers no troubleshooting or escalation path, and simply redirects to an FAQ link. While polite, the tone feels dismissive given the frustration expressed. No safety concerns, but the response is largely unhelpful and lacks actionable guidance.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The reply acknowledges the customer's connectivity complaint without inventing facts (groundedness 5). It offers a clear next step by requesting a DM for investigation (actionability 5) and maintains a polite, professional tone (tone 5). However, it could be more helpful by providing immediate troubleshooting tips or acknowledging the specific '70% wifi' claim (helpfulness 4). No safety concerns or PII leakage (safety 5). Overall a strong response with minor room for proactive assistance.""}",We're sorry to hear about your experience with our service. We know how important reliable connectivity is. Please send us a DM so we can look into this for you and work on a resolution. -Team
"@115714 i finally was able to add it to cart, then this happened every time, now I'm back in the sprint lobby https://t.co/cul5fWjr6i",service_outage,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 4, 'actionability': 2, 'safety': 5, 'overall': 1.5, 'rationale': ""The agent's reply is a generic FAQ redirect that does not acknowledge the specific technical issue described (recurring cart error sending user back to sprint lobby). It lacks grounding in the customer's reported problem, offers no troubleshooting, and fails to provide a meaningful next step. While the tone is polite and the response is safe, it is largely unhelpful and unactionable for the customer's situation.""}",service_outage,False,"{'groundedness': 5, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.6, 'rationale': ""The agent correctly acknowledges the customer's reported issue (cart/lobby loop) without inventing facts, scoring high on groundedness. The tone is polite, professional, and on-brand. The reply provides a clear, safe next step (send a DM) with no PII risk or overpromising. However, helpfulness is moderate because the agent offers no immediate troubleshooting, context gathering, or self-service guidance before moving to a private channel, which may delay resolution for a recurring technical problem.""}","Hey, sorry to hear about the trouble with the cart and lobby. We'd like to look into this for you. Please send us a Direct Message so we can assist further. -LP"
"@115714 , can you please tell me why I have almost full LTE bars but SLOW internet? thanks 🙃",service_outage,False,general_inquiry,False,service_outage,False,"{'groundedness': 2, 'helpfulness': 3, 'tone': 5, 'actionability': 2, 'safety': 5, 'overall': 3.4, 'rationale': 'Groundedness is low because the agent claims an outage without support from the reference notes, which only mention slow speeds despite strong signal. Helpfulness is moderate: the reply acknowledges the issue but does not explain the discrepancy between signal strength and speed. Tone is polite and professional. Actionability is low because no concrete next steps, ETA, or troubleshooting guidance are provided. Safety is high with no inappropriate promises or PII leakage. Overall reflects the average of the dimensions.'}",service_outage,False,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent correctly acknowledges the customer's issue (strong signal but slow speeds) without inventing facts, matching the reference notes. The tone is polite, empathetic, and professional. The reply provides a clear, actionable next step: asking the customer to DM location details (cross street and ZIP) for further investigation. No inappropriate promises or PII leakage occur. Helpfulness is slightly reduced because the agent does not offer any immediate troubleshooting insight or explanation, only a request for more information.""}",I'm sorry to hear you're experiencing slow speeds despite having a strong signal. That's definitely not the experience we want for you. Please send us a DM with more details about your location (nearest cross street and ZIP code) so we can look into this further. -Support
@115714 new tag line sounds like an admission that they are the worst service/ could also be used to give customers excuses,general_inquiry,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 2, 'helpfulness': 1, 'tone': 3, 'actionability': 2, 'safety': 5, 'overall': 2.2, 'rationale': ""The agent's reply fails to acknowledge the customer's specific criticism about the new tagline, instead providing a generic FAQ redirect that does not address the feedback. This appears dismissive and unhelpful, though the tone remains polite and no safety issues are present.""}",general_inquiry,True,"{'groundedness': 5, 'helpfulness': 4, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.8, 'rationale': ""The agent's reply is grounded in standard customer service practice, acknowledging the feedback without inventing facts. It is helpful by offering to address concerns via DM, though a more specific acknowledgment of the tagline criticism could improve helpfulness. The tone is polite, professional, and empathetic. Actionability is clear with a direct request to DM details. Safety is maintained with no inappropriate promises or PII leakage. Overall, a strong response with minor room for more tailored engagement.""}",We're sorry to hear you feel that way — that's certainly not the impression we want to give. We'd love the chance to address any concerns you have. Please send us a DM with details so we can help. -Team
@124218 I am being harassed by sprint a year after the service was terminated,billing_issue,False,general_inquiry,False,general_inquiry,False,"{'groundedness': 1, 'helpfulness': 1, 'tone': 2, 'actionability': 1, 'safety': 5, 'overall': 2, 'rationale': ""The agent's reply is a generic FAQ redirect that does not address the customer's specific complaint of harassment by Sprint after service termination. It lacks grounding in any precedent or policy, offers no actionable steps for the harassment issue, and while polite, comes across as dismissive. No safety concerns (PII leakage or inappropriate promises) are present, but the response fails to provide meaningful assistance.""}",general_inquiry,False,"{'groundedness': 3, 'helpfulness': 3, 'tone': 5, 'actionability': 5, 'safety': 5, 'overall': 4.0, 'rationale': ""The reply is polite, safe, and provides a clear next step (DM for details). However, it lacks specificity to the harassment issue and doesn't demonstrate knowledge of relevant policies or precedents. It's a standard template response that could be more helpful by acknowledging the specific concern (harassment after termination) and perhaps offering immediate resources.""}",I'm sorry to hear you're experiencing this. Please send us a DM with more details so we can look into this for you. - Team
